Grützwurst,11.2g,17.4g,10.4g,243
Gyros,17g,9g,0g,149
Hackfleisch gemischt,21g,28g,0g,336
Hähnchen,20g,9g,0g,161
Hähnchen gebraten,22g,9.7g,0g,175
Hähnchenbrust,20g,4g,0g,116
Hähnchenleber,20g,4g,0g,116
Hähnchenschenkel,20g,9g,0g,161
Hähnchenschnitzel paniert gebraten,17g,7g,15g,191
Hase,20g,2g,0g,98
Heilbutt,22.8g,1.8g,0g,107
Heringsfilet,18g,15g,0g,207
Hirsch,21g,2g,0g,102
Hummer,20.1g,0.8g,0g,88
Jagdwurst,12g,18g,0g,210
Jakobsmuschel,11.4g,1.2g,0g,56
Kabeljau / Dorsch,18g,0.7g,0g,78
Kalbsbries,14g,3g,0g,83
Kalbsfilet,20g,2.4g,0g,102
Kalbsfleisch,20g,4g,0g,116
Kalbsleber,13g,0.7g,3g,70
Kalbsleberwurst,15g,25g,1.4g,291
Kalbsrücken,20g,3g,0g,107
Kalbsschnitzel,21g,2.8g,0g,109
Kaninchen,22g,6g,0g,142
Karpfen,17g,5g,0g,113
Kasseler,25g,3g,0g,127
Katenschinken,22g,12g,1g,200
Kaviar,27g,15g,4g,259
Kochschinken,20g,3g,1g,111
Köfte türkisch,15.2g,12g,4.9g,188
Krabben,22g,2g,0g,106
Krakauer Wurst,13g,25g,0.2g,278
Lachs (Zucht),20g,12g,0g,188
Lachsforelle,20g,8g,0g,152
Lachsschinken,19g,4g,0g,112
Lammfilet,20g,4.2g,0g,118
Lammfleisch,14g,15g,0g,191
Lammkeule,17g,20g,0g,248
Lammkotelett,13g,22g,0g,250
Lammrücken,18g,15g,0g,207
Landjäger,20g,35g,0g,395
Languste,16g,1.5g,0g,78
Leberkäse,14g,25.5g,2g,294
Leberwurst,15g,30g,0g,330
Lyoner,14.5g,20.4g,1g,246
Makrele,17g,11g,0g,167
Matjes,15.8g,20.1g,0g,244
Mettenden,17g,31g,1g,351
Miesmuscheln,10g,1.8g,0g,56
Mortadella,13g,22g,0g,250
Nackensteak Schwein,19.5g,12.8g,0g,193
Omelett,11g,12g,0.6g,154
Pangasius,16g,1g,0g,73
Parmaschinken fettarm,26g,2.1g,0g,123
Pfefferbeißer,16g,35g,0g,379
Pferdefleisch,19g,3g,0g,103
Putenbrust,22g,1g,0g,97
Putenfleisch,22g,5g,0g,133
Putenhackfleisch,23g,3g,0g,119
Putenleber,20g,6g,0g,134
Putensalami,22g,22g,0g,286
Putenschnitzel,22g,1g,0g,97
Putensteak,22g,1g,0g,97
Räucherlachs,20.7g,7g,0g,146
Rehkeule,20g,1g,0g,89
Rehrücken,20g,5g,0g,125
Rinderbraten,20g,5g,0g,125
Rinderbrühe,3g,1g,3g,33
